bucket,zone,year,journal,first_author,n_authors,cited,type,doi,title
A,二区(电磁专业),2025,IEEE Transactions on Magnetics,Léonard Coutant,3,0,article,10.1109/tmag.2025.3612542,Unified Analytical Model From Radial to Axial Permanent Magnet Machine: Conical Flux Machine
A,二区(电磁专业),2020,IEEE Transactions on Magnetics,Nassif Berrabah,3,0,article,10.1109/tmag.2020.2966675,Implementation of High-Order On-Surface Radiation Boundary Conditions
A,二区(电磁专业),2026,IEEE Transactions on Magnetics,Hong Fu,6,0,article,10.1109/tmag.2026.3703065,Analytical Overactuated Current Commutation Method for Flexible Mode Suppression of Moving-Magnet Planar Motors
A,二区(电磁专业),2015,Computer Methods in Applied Mechanics and Engineering,M. Sheikholeslami,3,334,article,10.1016/j.cma.2015.06.010,Effect of non-uniform magnetic field on forced convection heat transfer of Fe3O4 –water nanofluid
A,二区(电磁专业),2018,Computer Methods in Applied Mechanics and Engineering,Zhixiong Li,5,77,article,10.1016/j.cma.2018.04.023,Control volume finite element method for nanofluid MHD natural convective flow inside a sinusoidal annulus under the impact of thermal radiation
A,二区(电磁专业),2024,Engineering Analysis with Boundary Elements,Zhilong Jiang,4,40,article,10.1016/j.enganabound.2024.02.021,Assessment of the edge-based smoothed finite element method for dynamic analysis of the multi-phase magneto-electro-elastic structures
A,二区(电磁专业),2022,Computer Methods in Applied Mechanics and Engineering,Carolin Birk,3,10,article,10.1016/j.cma.2022.115362,Magnetostatic simulations with consideration of exterior domains using the scaled boundary finite element method
A,二区(电磁专业),2017,Journal of Computational Physics,Melanie Basting,2,7,article,10.1016/j.jcp.2017.02.051,An FCT finite element scheme for ideal MHD equations in 1D and 2D
A,二区(电磁专业),2022,Computer Methods in Applied Mechanics and Engineering,Gang Wang,4,6,article,10.1016/j.cma.2021.114566,Transcranial stimulation analysis using the smoothed finite element method
A,二区(电磁专业),2021,Engineering Analysis with Boundary Elements,Liming Zhou,7,33,article,10.1016/j.enganabound.2021.11.002,On the static analysis of inhomogeneous magneto-electro-elastic plates in thermal environment via element-free Galerkin method
B,一区,2017,International Journal of Mechanical Sciences,Li She,3,24,article,10.1016/j.ijmecsci.2017.10.018,Multi-physics analysis of electromagnetic forming process using an edge-based smoothed finite element method
B,一区,2016,Journal of Materials Processing Technology,Xiaohui Cui,6,58,article,10.1016/j.jmatprotec.2016.06.004,Large-scale sheet deformation process by electromagnetic incremental forming combined with stretch forming
B,一区,2018,Journal of Materials Processing Technology,Evandro Paese,5,52,article,10.1016/j.jmatprotec.2018.08.033,"Sheet metal electromagnetic forming using a flat spiral coil: Experiments, modeling, and validation"
B,一区,2016,Journal of Materials Processing Technology,Hyeonil Park,6,36,article,10.1016/j.jmatprotec.2016.04.023,Effect of an aluminum driver sheet on the electromagnetic forming of DP780 steel sheet
B,一区,2021,Journal of Materials Processing Technology,Zhihao Du,8,40,article,10.1016/j.jmatprotec.2021.117340,Springback control and large skin manufacturing by high-speed vibration using electromagnetic forming
B,一区,2016,Journal of Materials Processing Technology,Xiaohui Cui,7,36,article,10.1016/j.jmatprotec.2016.02.013,Incremental electromagnetic-assisted stamping (IEMAS) with radial magnetic pressure: A novel deep drawing method for forming aluminum alloy sheets
B,一区,2018,Journal of Materials Processing Technology,Hongwei Li,6,28,article,10.1016/j.jmatprotec.2018.01.024,Analysis of forming defects in electromagnetic incremental forming of a large-size thin-walled ellipsoid surface part of aluminum alloy
B,一区,2017,International Journal of Mechanical Sciences,Hui Feng,3,28,article,10.1016/j.ijmecsci.2017.05.003,Coupled-field simulation of electromagnetic tube forming process using a stable nodal integration method
B,一区,2017,Journal of Materials Processing Technology,Li She,4,20,article,10.1016/j.jmatprotec.2017.01.028,An electromagnetic forming analysis modelling using nodal integration axisymmetric thin shell
B,一区,2017,Journal of Materials Processing Technology,Alexander V. Mamutov,3,13,article,10.1016/j.jmatprotec.2017.11.050,Experimental-analytical method of analyzing performance of coils for electromagnetic forming and joining operations
B,一区,2026,Journal of Materials Processing Technology,Hanpeng Wang,5,0,article,10.1016/j.jmatprotec.2026.119291,Reducing wrinkling and springback while improving the forming height of 7075 aluminum alloy outer edge flanging parts by electromagnetic-driven forming
B,一区,2016,Materials & Design,Slim Naifar,5,15,article,10.1016/j.matdes.2016.02.065,Investigation of the magnetostrictive effect in a terfenol-D plate under a non-uniform magnetic field by atomic force microscopy
B,一区,2020,International Journal of Mechanical Sciences,Ryan Stampfli,2,22,article,10.1016/j.ijmecsci.2020.105573,Multiphysics computational analysis of multiferroic composite ring structures
B,一区,2016,IEEE Transactions on Industrial Electronics,Fu Lin,4,273,article,10.1109/tie.2016.2593683,"Modeling and Analysis of Electromagnetic Force, Vibration, and Noise in Permanent-Magnet Synchronous Motor Considering Current Harmonics"
B,一区,2018,IEEE Transactions on Industrial Electronics,Wenzhe Deng,2,72,article,10.1109/tie.2018.2821110,Comparative Study of Sideband Electromagnetic Force in Internal and External Rotor PMSMs With SVPWM Technique
B,一区,2015,IEEE Transactions on Industrial Electronics,Wenxiang Zhao,6,171,article,10.1109/tie.2015.2499165,Design and Analysis of a Linear Permanent- Magnet Vernier Machine With Improved Force Density
B,一区,2023,IEEE Transactions on Industrial Electronics,Zezhi Xing,3,33,article,10.1109/tie.2023.3243298,Fast Calculation of Electromagnetic Vibration of Surface-Mounted PMSM Considering Teeth Saturation and Tangential Electromagnetic Force
B,一区,2018,IEEE Transactions on Industrial Electronics,Feng Chai,4,111,article,10.1109/tie.2018.2880707,Analysis of Radial Vibration Caused by Magnetic Force and Torque Pulsation in Interior Permanent Magnet Synchronous Motors Considering Air-Gap Deformations
B,一区,2017,IEEE Transactions on Industrial Electronics,Seun Guy Min,3,54,article,10.1109/tie.2017.2762627,Analytical Modeling and Optimization for Electromagnetic Performances of Fractional-Slot PM Brushless Machines
B,一区,2018,IEEE Transactions on Industrial Electronics,Hind Chit Dirani,5,48,article,10.1109/tie.2018.2814021,Impact of Real Air-Gap Nonuniformity on the Electromagnetic Forces of a Large Hydro-Generator
